"character" "dialogue"
"1" "LEON" "Okay if I talk?"
"2" "LEON" "I kinda get nervous when I take tests."
"3" "HOLDEN" "Don't move."
"4" "LEON" "Sorry."
"5" "LEON" "Already had I.Q. test this year -- but I don't think I never had a..."
"6" "HOLDEN" "Reaction time is a factor in this, so please pay attention.  Answer quickly as you can."
"7" "HOLDEN" "You're in a desert, walking along in the sand when all of a sudden you look down and see a..."
"8" "LEON" "What one?"
"9" "HOLDEN" "What?"
"10" "LEON" "What desert?"
"11" "HOLDEN" "Doesn't make any difference what desert -- it's completely hypothetical."
"12" "LEON" "But how come I'd be there?"
"13" "HOLDEN" "Maybe you're fed up, maybe you want to be by yourself -- who knows.  So you look down and see a tortoise.  It's crawling towards you..."
"14" "LEON" "A tortoise.  What's that?"
"15" "HOLDEN" "Know what a turtle is?"
"16" "LEON" "Of course."
"17" "HOLDEN" "Same thing."
"18" "LEON" "I never seen a turtle."
"19" "LEON" "But I understand what you mean."
"20" "HOLDEN" "You reach down and flip the tortoise over on its back, Leon."
"21" "LEON" "You make these questions, Mr. Holden, or they write 'em down for you?"
"22" "HOLDEN" "The tortoise lays on its back, its belly baking in the hot sun, beating its legs trying to turn itself over.  But it can't.  Not without your help.  But you're not helping."
"23" "LEON" "Whatcha mean, I'm not helping?"
"24" "HOLDEN" "I mean you're not helping! Why is that, Leon?"
"25" "DECKARD (V.O.)" "It was 97 degrees in the city and no hope of improvement.  Not bad if you're a lizard.  But two hours earlier I was drinking Acquavit with an Eskimo lady in North East Alaska.  That's a tough change to make.  It was so good, I didn't want to leave, so I left a day early."
"26" "DECKARD" "Contact.  This is Blade Runner One calling Com-fast 27."
"27" "VOICE" "Blade Runner One, stand by please."
"28" "VOICE" "Deckard."
"29" "DECKARD" "Yah, Gaff."
"30" "GAFF (VOICE)" "Where the hell you been?"
"31" "DECKARD" "You know where I been.  I been on vacation."
"32" "GAFF" "Next time you go on vacation, do me a favor, let us know where it is."
"33" "DECKARD" "What's up?"
"34" "GAFF" "Holden got hit."
"35" "DECKARD" "Bad?"
"36" "GAFF" "Severed spine.  You'd better get in here.  Bryant's waiting for you."
"37" "DECKARD" "I'll see you in a minute."
"38" "DECKARD (V.O.)" "I-X-4-P-D referred to as a Nexus-6, The Tyrell Corporation's new pride and joy.  Holden was administering the Voight-Kampff test when one nailed him."
"39" "DECKARD (V.O.)" "The Nexus-6 must be fast because Holden was as quick as they come. The report said there were six of them.  Three males and three female. Led by a combat model called Roy Batty."
"40" "DECKARD (V.O.)" "They escaped from the colonies two weeks ago.  Killed twenty- three people and jumped a shuttle. An aerial patrol found the ship in the desert.  No crew."
"41" "DECKARD (V.O.)" "Bryant's got a liver problem.  A couple years back he handed me a bottle and said have a drink for another man.  I been drinking for him ever since."
"42" "DECKARD" "Six, huh?"
"43" "BRYANT" "Five.  Three nights ago one of them managed to break into the Tyrell Corporation.  Killed two guards and got as far as the Genetic Sector before he got fried going through an electro- field."
"44" "DECKARD" "What was he after?"
"45" "BRYANT" "There wasn't much left of him, so we can't be sure.  But bio- chemical data and morphology records of the Nexus-6 were reported missing.  Going on the possibility they might try to infiltrate we send Holden in to run Voight-Kampff tests on the new employees.  Guess he found himself one."
"46" "DECKARD" "You got a machine on it yet?"
"47" "BRYANT" "We're using Esper -- a 231 -- that picked up Holden's alarm.  Its guess is that all five are in the city."
"48" "DECKARD" "Where do we start?"
"49" "BRYANT" "The Tyrell Corporation has a demo model.  Check it out on the Voight-Kampff.  There's a chance the Nexus-6 is beyond out ability to detect.  If that's the case, everybody's up shit creek."
"50" "DECKARD" "What was the cover on the one that got Holden?"
"51" "BRYANT" "Industrial refuse."
"52" "DECKARD" "Garbage man?"
"53" "DECKARD" "Did personnel have an address on him?"
"54" "DECKARD" "I'll go take a look."
"55" "DECKARD" "Thanks."
"56" "DECKARD (V.O.)" "The big incentive to emigrate was still free labor.  If the public found out that their door-prizes might kill them, they might not be so hot to go up there.  This was one of the worst one's we had and Bryant was worried.  He wanted to tell me to be discrete or something. But I didn't give him a chance."
"57" "ANNOUNCER'S VOICE" "Choose from a variety of seventy nine different personality types. Each and every one a loyal trouble- free companion given to you upon your arrival absolutely free..."
"58" "ANNOUNCER'S VOICE" "To use as personal body servant to tireless field hand -- the custom tailored humanoid robot, designed especially for your needs."
"59" "BATTY" "Did you get your precious 'things'?"
"60" "LEON" "Somebody was already there."
"61" "BATTY" "Police."
"62" "LEON" "Just a man."
"63" "BATTY" "Police man."
"64" "BATTY" "Why don't you have a seat."
"65" "BATTY" "Enjoy the view."
