"character" "dialogue"
"1" "CLERK" "And how are you today, sir?"
"2" "MAN" "Real good now.  I'm checking in - Mr. Anderson."
"3" "CLERK" "Okay, Mr. Anderson, and you're still planning on staying with us just the night, then?"
"4" "ANDERSON" "You bet."
"5" "NEWS ANCHOR" "- whether they will go to summer camp at all.  Katie Jensen has more."
"6" "KATIE" "It was supposed to be a project funded by the city council;  it was supposed to benefit those Fargo-Moorehead children who would otherwise not be able to afford to attend a lakeshore summer camp.  But nobody consulted city controller Stu Jacobson..."
"7" "WAITRESS" "Can I warm that up for ya there?"
"8" "ANDERSON" "You bet."
"9" "ANDERSON" "I'm, uh, Jerry Lundegaard -"
"10" "YOUNGER MAN" "You're Jerry Lundegaard?"
"11" "JERRY" "Yah, Shep Proudfoot said -"
"12" "YOUNGER MAN" "Shep said you'd be here at 7:30. What gives, man?"
"13" "JERRY" "Shep said 8:30."
"14" "YOUNGER MAN" "We been sitting here an hour. I've peed three times already."
"15" "JERRY" "I'm sure sorry.  I - Shep told me 8:30.  It was a mix-up, I guess."
"16" "YOUNGER MAN" "Ya got the car?"
"17" "JERRY" "Yah, you bet.  It's in the lot there.  Brand-new burnt umber Ciera."
"18" "YOUNGER MAN" "Yeah, okay.  Well, siddown then. I'm Carl Showalter and this is my associate Gaear Grimsrud."
"19" "JERRY" "Yah, how ya doin'.  So, uh, we all set on this thing, then?"
"20" "YOUNGER MAN" "Sure, Jerry, we're all set.  Why wouldn't we be?"
"21" "JERRY" "Yah, no, I'm sure you are.  Shep vouched for you and all.  I got every confidence in you fellas."
"22" "JERRY" "...  So I guess that's it, then. Here's the keys -"
"23" "CARL" "No, that's not it, Jerry."
"24" "JERRY" "Huh?"
"25" "CARL" "The new vehicle, plus forty thousand dollars."
"26" "JERRY" "Yah, but the deal was, the car first, see, then the forty thousand, like as if it was the ransom.  I thought Shep told you -"
"27" "CARL" "Shep didn't tell us much, Jerry."
"28" "JERRY" "Well, okay, it's -"
"29" "CARL" "Except that you were gonna be here at 7:30."
"30" "JERRY" "Yah, well, that was a mix-up, then."
"31" "CARL" "Yeah, you already said that."
"32" "JERRY" "Yah.  But it's not a whole pay- in-advance deal.  I give you a brand-new vehicle in advance and -"
"33" "CARL" "I'm not gonna debate you, Jerry."
"34" "JERRY" "Okay."
"35" "CARL" "I'm not gonna sit here and debate. I will say this though:  what Shep told us didn't make a whole lot of sense."
"36" "JERRY" "Oh, no, it's real sound.  It's all worked out."
"37" "CARL" "You want your own wife kidnapped?"
"38" "JERRY" "Yah."
"39" "CARL" "...  You - my point is, you pay the ransom - what eighty thousand bucks? -  I mean, you give us half the ransom, forty thousand, you keep half.  It's like robbing Peter to play Paul, it doesn't make any -"
"40" "JERRY" "Okay, it's - see, it's not me payin' the ransom.  The thing is, my wife, she's wealthy - her dad, he's real well off.  Now, I'm in a bit of trouble -"
"41" "CARL" "What kind of trouble are you in, Jerry?"
"42" "JERRY" "Well, that's, that's, I'm not go inta, inta - see, I just need money.  Now, her dad's real wealthy -"
"43" "CARL" "So why don't you just ask him for the money?"
"44" "GRIMSRUD" "Or your fucking wife, you know."
"45" "CARL" "Or your fucking wife, Jerry."
"46" "JERRY" "Well, it's all just part of this - they don't know I need it, see. Okay, so there's that.  And even if they did, I wouldn't get it. So there's that on top, then.  See, these're personal matters."
"47" "CARL" "Personal matters."
"48" "JERRY" "Yah.  Personal matters that needn't, uh -"
"49" "CARL" "Okay, Jerry.  You're tasking us to perform this mission, but you, you won't, uh, you won't - aw, fuck it, let's take a look at that Ciera."
"50" "JERRY" "Hon?  Got the growshries."
"51" "VOICE" "Thank you, hon.  How's Fargo?"
"52" "JERRY" "Yah, real good."
"53" "VOICE" "Dad's here."
"54" "JERRY" "How ya doin', Wade?"
"55" "WADE" "Yah, pretty good."
"56" "JERRY" "Whatcha watchin' there?"
"57" "WADE" "Norstars."
"58" "JERRY" "...  Who they playin'?"
"59" "WADE" "OOOoooh!"
"60" "JERRY" "Is he stayin' for supper, then?"
"61" "WIFE" "Yah, I think so...  Dad, are you stayin' for supper?"
"62" "WADE" "Yah."
"63" "SCOTTY" "May I be excused?"
"64" "JERRY" "Sure, ya done there?"
"65" "SCOTTY" "Uh-huh.  Goin' out."
"66" "WIFE" "Where are you going?"
"67" "SCOTTY" "Just out.  Just McDonald's."
"68" "JERRY" "Back at 9:30."
"69" "SCOTTY" "Okay."
"70" "WADE" "He just ate.  And he didn't finish. He's going to McDonald's instead of finishing here?"
"71" "WIFE" "He sees his friends there.  It's okay."
"72" "WADE" "It's okay?  McDonald's?  What do you think they do there?  They don't drink milkshakes, I assure you!"
"73" "WIFE" "It's okay, Dad."
"74" "JERRY" "Wade, have ya had a chance to think about, uh, that deal I was talkin' about, those forty acres there on Wayzata?"
"75" "WADE" "You told me about it."
"76" "JERRY" "Yah, you said you'd have a think about it.  I understand it's a lot of money -"
"77" "WADE" "A heck of a lot.  What'd you say you were gonna put there?"
"78" "JERRY" "A lot.  It's a limited -"
"79" "WADE" "I know it's a lot."
"80" "JERRY" "I mean a parking lot."
"81" "WADE" "Yah, well, seven hundred and fifty thousand dollars is a lot - ha ha ha!"
"82" "JERRY" "Yah, well, it's a chunk, but -"
"83" "WADE" "I thought you were gonna show it to Stan Grossman.  He passes on this stuff before it gets kicked up to me."
"84" "JERRY" "Well, you know Stan'll say no dice.  That's why you pay him. I'm asking you here, Wade.  This could work out real good for me and Jean and Scotty -"
"85" "WADE" "Jean and Scotty never have to worry."
"86" "GRIMSRUD" "Where is Pancakes Hause?"
"87" "CARL" "What?"
"88" "GRIMSRUD" "We stop at Pancakes Hause."
"89" "CARL" "What're you, nuts?  We had pancakes for breakfast.  I gotta go somewhere I can get a shot and a beer - and a steak maybe. Not more fuckin' pancakes.  Come on."
"90" "CARL" "...  Come on, man.  Okay, here's an idea.  We'll stop outside of Brainerd.  I know a place there we can get laid.  Wuddya think?"
"91" "GRIMSRUD" "I'm fuckin' hungry now, you know."
"92" "CARL" "Yeah, yeah, Jesus - I'm sayin', we'll stop for pancakes, then we'll get laid.  Wuddya think?"
"93" "CUSTOMER" "We sat here right in this room and went over this and over this!"
"94" "JERRY" "Yah, but that TruCoat -"
"95" "CUSTOMER" "I sat right here and said I didn't want no TruCoat!"
"96" "JERRY" "Yah, but I'm sayin', that TruCoat, you don't get it and you get oxidization problems.  It'll cost you a heck of lot more'n five hunnert -"
"97" "CUSTOMER" "You're sittin' here, you're talkin' in circles!  You're talkin' like we didn't go over this already!"
"98" "JERRY" "Yah, but this TruCoat -"
"99" "CUSTOMER" "We had us a deal here for nine- teen-five.  You sat there and darned if you didn't tell me you'd get this car, these options, WITHOUT THE SEALANT, for nine- teen-five!"
"100" "JERRY" "Okay, I'm not sayin' I didn't -"
"101" "CUSTOMER" "You called me twenty minutes ago and said you had it!  Ready to make delivery, ya says!  Come on down and get it!  And here ya are and you're wastin' my time and you're wastin' my wife's time and I'm payin' nineteen-five for this vehicle here!"
"102" "JERRY" "Well, okay, I'll talk to my boss..."
"103" "JERRY" "...  See, they install that TruCoat at the factory, there's nothin' we can do, but I'll talk to my boss."
"104" "CUSTOMER" "These guys here - these guys! It's always the same!  It's always more!  He's a liar!"
"105" "WIFE" "Please, dear."
"106" "CUSTOMER" "We went over this and over this -"
"107" "JERRY" "So you're goin' to the Gophers on Sunday?"
"108" "SALESMAN" "You bet."
"109" "JERRY" "You wouldn't have an extra ticket there?"
"110" "SALESMAN" "They're playin' the Buckeyes!"
"111" "JERRY" "Yah."
"112" "SALESMAN" "Ya kiddin'!"
"113" "JERRY" "Well, he never done this before, but seein' as it's special circumstances and all, he says I can knock one hunnert off that TruCoat."
"114" "CUSTOMER" "One hundred!  You lied to me, Mr. Lundegaard.  You're a bald-faced liar!"
"115" "CUSTOMER" "...  A fucking liar -"
"116" "WIFE" "Bucky, please!"
"117" "JERRY" "One hunnert's the best we can do here."
"118" "CUSTOMER" "Oh, for Christ's sake, where's my goddamn checkbook.  Let's get this over with."
"119" "CARL" "Oh, Jesus, yeah."
"120" "HIS HOOKER" "There ya go, sugar."
"121" "GRIMSRUD" "Nnph."
"122" "HIS HOOKER" "Yeah.  Yeah.  Oh, yeah."
"123" "ED MCMAHON" "-  Johnny's guests tonight will be Lee Majors, George Wendt, and Steve Boutsikaros from the San Diego Zoo, so keep that dial -"
"124" "JEAN" "I'm talkin' about your potential."
"125" "SCOTT" "Uh-huh."
"126" "JEAN" "You're not a C student."
"127" "SCOTT" "Uhn."
"128" "JEAN" "And yet you're gettin' C grades. It's this disparity there that concerns your dad and me."
"129" "SCOTT" "Uh-huh."
"130" "JEAN" "You know what a disparity is?"
"131" "SCOTT" "Yeah!"
"132" "JEAN" "Okay.  Well, that's why we don't want ya goin' out fer hockey."
"133" "SCOTT" "Oh, man!"
"134" "SCOTT" "...  What's the big deal?  It's an hour -"
"135" "JEAN" "Hold on."
"136" "JEAN" "...  Hello?"
"137" "PHONE VOICE" "Yah, hiya, hon."
"138" "JEAN" "Oh, hiya, Dad."
"139" "WADE" "Jerry around?"
