"character" "dialogue"
"1" "REPORTER" "Eager to mend its tarnished image, Los Angeles has really put out the welcome mat for tomorrow's summit. The city promises quite a party as leaders from Japan, China, South Korea, Australia, the U.S. and others begin talks for the largest free-trade treaty in history."
"2" "REPORTER (VO)" "The one sour note is North Korea, the only Pacific Rim country not participating. There are rumors of secret meetings with North Korean representatives, but U.S. officials insist the North must first hold democratic elections, and halt its nuclear weapons program -- as they claimed to have done back in 1995."
"3" "REPORTER (VO)" "Tensions remain high since last year's skirmishes between North Korea and the U.S. So any chance of the communist North joining the Pacific Partners seems highly unlikely."
"4" "Consulate" ""
"5" " of the" "Democratic People's Republic of Korea"
"6" "SAM" "I can't stand it -- half an hour to get to the stupid school every morning... with no music... [Just our damn Nanny...]"
"7" "DRIVER" "[Stay in the car.]"
"8" "CARSON" "Son of a bitch!"
"9" "MIRANDA" "Pete... please... we have to be up early tomorrow. Call the police."
"10" "CARSON" "Yeah, right."
"11" "CARSON" "Shit!"
"12" "MIRANDA" "Not again..."
"13" "WESTEC GUARD" "Everybody... chill! Bikini boy! On the ground!"
"14" "CARSON" "Asshole was trying to boost my car!"
"15" "CARSON" "Mike -- call 911!"
"16" "NEIGHBOR" "Been trying... It's busy. He's the good guy, you schumcks."
"17" "CARSON" "I hate this fuckin' town."
"18" "JOY" "There are six bathrooms in this house, Sam."
"19" "SAM" "But only one with a smoking section."
"20" "AMBASSADOR HAN" "[Go change.]"
"21" "AMBASSADOR HAN" "[You smell like a fireplace.]"
"22" "MRS. HAN" "It's the Governess... Hello, Hilda..."
"23" "GOVERNESS" "Mrs. Han... I am very sick today..."
"24" "MRS. HAN" "We will see you next week... It appears I'll be taking you to school."
"25" "JAVAL" "Very good. You may go now..."
"26" "BOBBI" "...Good morning, Summit Day! It's gonna be the Super Bowl, the 4th of July, the Olympics and Woodstock all rolled into one! All over town there'll be parades, concerts, rallies, festivals... So get out there everyone, but plan your drive- time accordingly! This is Bobbi Marchfelder, your Eye in the Sky..."
"27" "MORNING ANCHOR (VO)" "The President is on his way..."
"28" "PRESIDENT" "...It's an honor hosting my fellow leaders in Los Angeles, the capitol city of the Pacific Rim..."
"29" "MORNING ANCHOR" "We'll see the menu for Mayor Simpson's Brentwood barbecue, right after this..."
"30" "MIRANDA" "I was watching that."
"31" "CARSON" "If I hear one more Beach Boys song, I'll shoot myself."
"32" "CARSON" "I said, if we were having sex once in a while, you wouldn't need to ride that fucking bike every morning."
"33" "MIRANDA" "Be right with you..."
"34" "MIRANDA" "Have you gotten any sleep lately?"
"35" "CARSON" "Shop's gonna tow the car in -- goddamn ignition's trashed."
"36" "MIRANDA" "Take mine. I'll ride in with Diane."
"37" "CARSON" "You ask me, those suckers are a lost cause."
"38" "MIRANDA" "It's not for you."
"39" "CARSON" "You mean it's not for you."
"40" "MIRANDA" "I don't chase car thieves in my underwear. C'mon, you'd die of boredom if we ever sold this house and moved."
"41" "CARSON" "I'd die of shock, from finding anyone dumb enough to buy the place. Even for what it's worth now."
"42" "MIRANDA" "Lots of people bought at the top of the market..."
"43" "CARSON" "That sure cheers me right up."
"44" "MIRANDA" "I don't know why we even talk about it. The city's not the problem. So we move. It wouldn't matter. What's that saying: "Wherever you go, there you are.""
"45" "MIRANDA" "I hope you're current on your tetanus booster. Was it worth it?"
"46" "CARSON" "One cut... two assholes in the hospital... Yep."
"47" "CARSON" "Well, another day of baby-sitting my favorite bunch of people..."
"48" "MIRANDA" "Ask for a transfer."
"49" "CARSON" "They're not gonna transfer me. You know damn well why I was bumped down to guard duty... My outstanding people skills."
"50" "CARSON" "I hate this fuckin' town."
"51" "ANGRY VOICE (OS)" "Goddamn Limey overpriced piece a shit..."
"52" "JOY" "Can we give Lisa a ride?"
"53" "LISA" "Hey, Joy... Sam..."
"54" "LISA" "Excellent -- I can't hear him!"
