"character" "dialogue"
"1" "VOICE-OVER" "A way out west there was a fella,  fella I want to tell you about, fella  by the name of Jeff Lebowski.  At  least, that was the handle his lovin'  parents gave him, but he never had  much use for it himself.  This  Lebowski, he called himself the Dude.   Now, Dude, that's a name no one would  self-apply where I come from.  But  then, there was a lot about the Dude  that didn't make a whole lot of sense  to me.  And a lot about where he  lived, like- wise.  But then again,  maybe that's why I found the place  s'durned innarestin'."
"2" "VOICE-OVER" "They call Los Angeles the City of  Angels.  I didn't find it to be that  exactly, but I'll allow as there are  some nice folks there.  'Course, I  can't say I seen London, and I never  been to France, and I ain't never  seen no queen in her damn undies as  the fella says.  But I'll tell you  what, after seeing Los Angeles and  thisahere story I'm about to unfold--  wal, I guess I seen somethin' ever'  bit as stupefyin' as ya'd see in any  a those other places, and in English  too, so I can die with a smile on my  face without feelin' like the good  Lord gypped me."
"3" "VOICE-OVER" "Now this story I'm about to unfold  took place back in the early nineties--  just about the time of our conflict  with Sad'm and the Eye-rackies.  I  only mention it 'cause sometimes  there's a man--I won't say a hee-ro,  'cause what's a hee-ro?--but sometimes  there's a man."
"4" "VOICE-OVER" "And I'm talkin' about the Dude here--  sometimes there's a man who, wal,  he's the man for his time'n place,  he fits right in there--and that's  the Dude, in Los Angeles."
"5" "GEORGE BUSH" "This aggression will not stand...  This will not stand!"
"6" "VOICE-OVER" "...and even if he's a lazy man, and  the Dude was certainly that--quite  possibly the laziest in Los Angeles  County."
"7" "VOICE-OVER" "...which would place him high in the  runnin' for laziest worldwide--but  sometimes there's a man... sometimes  there's a man."
"8" "VOICE-OVER" "Wal, I lost m'train of thought here.   But--aw hell, I done innerduced him  enough."
"9" "DUDE" "It's the LeBaron."
"10" "VOICE" "We want that money, Lebowski.  Bunny  said you were good for it."
"11" "VOICE" "Where's the money, Lebowski!"
"12" "VOICE" "Where's the money, Lebowski!"
"13" "VOICE" "WHERE'S THE FUCKING MONEY, SHITHEAD!"
"14" "DUDE" "It's uh, it's down there somewhere.   Lemme take another look."
"15" "VOICE" "Don't fuck with us.  If your wife  owes money to Jackie Treehorn, that  means you owe money to Jackie  Treehorn."
"16" "CHINESE MAN" "Ever thus to deadbeats, Lebowski."
"17" "DUDE" "Oh, man.  Don't do--"
"18" "BLOND MAN" "You see what happens?  You see what  happens, Lebowski?"
"19" "DUDE" "Look, nobody calls me Lebowski.  You  got the wrong guy.  I'm the Dude,  man."
"20" "BLOND MAN" "Your name is Lebowski.  Your wife is  Bunny."
"21" "DUDE" "Bunny?  Look, moron."
"22" "DUDE" "You see a wedding ring?  Does this  place look like I'm fucking married?   All my plants are dead!"
"23" "BLOND MAN" "The fuck is this?"
"24" "DUDE" "Obviously you're not a golfer."
"25" "BLOND MAN" "Woo?"
"26" "WOO" "Yeah?"
"27" "BLOND MAN" "Wasn't this guy supposed to be a  millionaire?"
"28" "WOO" "Uh?"
"29" "WOO" "Fuck."
"30" "BLOND MAN" "What do you think?"
"31" "WOO" "He looks like a fuckin' loser."
"32" "DUDE" "Hey.  At least I'm housebroken."
"33" "WOO" "Fuckin' waste of time."
